Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
Star Wars,1977,121 min.,George Lucas,Mark Hamill,Harrison Ford,Action
The Empire Strikes Back,1980,127 min.,Irvin Kershner,Mark Hamill,Harrison Ford,Action
The Godfather,1972,175 min.,Francis Ford Coppola,Marlon Brando,Al Pacino,Based-on-20th-Century-Literature
Raiders of the Lost Ark,1981,115 min.,Steven Spielberg,Harrison Ford,Paul Freeman,Action
The Shawshank Redemption,1994,142 min.,Frank Darabont,Tim Robbins,Morgan Freeman,Based-on-20th-Century-Literature
Pulp Fiction,1994,154 min.,Quentin Tarantino,John Travolta,Samuel L. Jackson,Black Comedy
Return of the Jedi,1983,134 min.,Richard Marquand,Mark Hamill,Harrison Ford,Action
Back to the Future,1985,116 min.,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Adventure Comedy
Ikiru,1952,143 min.,Akira Kurosawa,Takashi Shimura,Shin'ichi Himori,Based-on-19th-Century-Literature
The Godfather Part II,1974,200 min.,Francis Ford Coppola,Al Pacino,Robert Duvall,Based-on-20th-Century-Literature
Harakiri,1962,133 min.,Masaki Kobayashi,Tatsuya Nakadai,Rentaro Mikuni,Based-on-20th-Century-Literature
The Dark Knight,2008,152 min.,Christopher Nolan,Christian Bale,Heath Ledger,Action Thriller
Fight Club,1999,139 min.,David Fincher,Brad Pitt,Edward Norton,Based-on-20th-Century-Literature
GoodFellas,1990,145 min.,Martin Scorsese,Robert De Niro,Ray Liotta,Based-on-20th-Century-Literature
Rear Window,1954,112 min.,Alfred Hitchcock,James Stewart,Grace Kelly,Based-on-20th-Century-Literature
High and Low,1963,142 min.,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Based-on-20th-Century-Literature
City Lights,1931,87 min.,Charles Chaplin,Charles Chaplin,Virginia Cherrill,Comedy Drama
Alien,1979,117 min.,Ridley Scott,Tom Skerritt,Sigourney Weaver,Body Horror
The Silence of the Lambs,1991,118 min.,Jonathan Demme,Jodie Foster,Scott Glenn,Based-on-20th-Century-Literature
The Shining,1980,142 min.,Stanley Kubrick,Jack Nicholson,Shelley Duvall,Based-on-20th-Century-Literature
Indiana Jones and the Last Crusade,1989,127 min.,Steven Spielberg,River Phoenix,Harrison Ford,Action Comedy
Reservoir Dogs,1992,99 min.,Quentin Tarantino,Harvey Keitel,Tim Roth,Caper
The Apartment,1960,125 min.,Billy Wilder,Jack Lemmon,Fred MacMurray,Comedy Drama
Se7en,1995,127 min.,David Fincher,Brad Pitt,Morgan Freeman,Crime Thriller
Casablanca,1942,102 min.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Based-on-Theatre
Seven Samurai,1954,207 min.,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Action
The Matrix,1999,136 min.,The Wachowskis,Keanu Reeves,Laurence Fishburne,Action
M,1931,99 min.,Fritz Lang,Peter Lorre,Ellen Widmann,Crime Thriller
Die Hard,1988,131 min.,John McTiernan,Bruce Willis,Alan Rickman,Action Thriller
Monty Python and the Holy Grail,1975,91 min.,"Terry Gilliam, Terry Jones",Graham Chapman,John Cleese,Absurd Comedy
"The Good, the Bad and the Ugly",1966,161 min.,Sergio Leone,Eli Wallach,Clint Eastwood,Foreign Language Film
One Flew Over the Cuckoo's Nest,1975,133 min.,Milos Forman,Jack Nicholson,Louise Fletcher,Based-on-20th-Century-Literature
Double Indemnity,1944,107 min.,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Based-on-20th-Century-Literature
Sunrise: A Song of Two Humans,1927,94 min.,F.W. Murnau,George O'Brien,Janet Gaynor,Drama
The Night of the Hunter,1955,92 min.,Charles Laughton,Robert Mitchum,Shelley Winters,Based-on-20th-Century-Literature
Yojimbo,1961,110 min.,Akira Kurosawa,Toshirô Mifune,Isuzu Yamada,Action
Ghostbusters,1984,105 min.,Ivan Reitman,Bill Murray,Dan Aykroyd,Comedy
North by Northwest,1959,136 min.,Alfred Hitchcock,Cary Grant,Eva Marie Saint,Chase Movie
The Lord of the Rings: The Fellowship of the Ring,2001,178 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93 min.,Stanley Kubrick,George C. Scott,Sterling Hayden,Anti-War Film
The Third Man,1949,93 min.,Carol Reed,Joseph Cotten,Alida Valli,British Noir
Citizen Kane,1941,119 min.,Orson Welles,Orson Welles,Ray Collins,Drama
The Princess Bride,1987,98 min.,Rob Reiner,Cary Elwes,Mandy Patinkin,Adventure Comedy
Rashômon,1950,88 min.,Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Based-on-20th-Century-Literature
Terminator 2: Judgment Day,1991,137 min.,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Action Thriller
Blade Runner,1982,117 min.,Ridley Scott,Harrison Ford,Rutger Hauer,Based-on-20th-Century-Literature
Taxi Driver,1976,113 min.,Martin Scorsese,Robert De Niro,Jodie Foster,Drama
The Wages of Fear,1953,131 min.,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Based-on-20th-Century-Literature
The Usual Suspects,1995,106 min.,Bryan Singer,Stephen Baldwin,Gabriel Byrne,Crime Thriller
The Lord of the Rings: The Return of the King,2003,201 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Aliens,1986,137 min.,James Cameron,Sigourney Weaver,Carrie Henn,Action
Paths of Glory,1957,87 min.,Stanley Kubrick,Kirk Douglas,Ralph Meeker,Anti-War Film
Psycho,1960,109 min.,Alfred Hitchcock,Anthony Perkins,Vera Miles,Based-on-20th-Century-Literature
Saving Private Ryan,1998,170 min.,Steven Spielberg,Tom Hanks,Tom Sizemore,Combat Films
12 Angry Men,1957,96 min.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Based-on-Television
Jurassic Park,1993,127 min.,Steven Spielberg,Sam Neill,Laura Dern,Action
Schindler's List,1993,195 min.,Steven Spielberg,Liam Neeson,Ben Kingsley,Based-on-20th-Century-Literature
Persona,1966,85 min.,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Avant-garde / Experimental
Apocalypse Now,1979,153 min.,Francis Ford Coppola,Martin Sheen,Robert Duvall,Adventure Drama
The Red Shoes,1948,133 min.,"Michael Powell, Emeric Pressburger",Moira Shearer,Anton Walbrook,Based-on-19th-Century-Literature
The Passion of Joan of Arc,1928,110 min.,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,Based-on-a-True-Story
Touch of Evil,1958,95 min.,Orson Welles,Charlton Heston,Janet Leigh,Crime
Vertigo,1958,129 min.,Alfred Hitchcock,James Stewart,Kim Novak,Based-on-20th-Century-Literature
Forrest Gump,1994,142 min.,Robert Zemeckis,Tom Hanks,Robin Wright,Americana
Jaws,1975,124 min.,Steven Spielberg,Roy Scheider,Robert Shaw,Adventure
Chinatown,1974,131 min.,Roman Polanski,Faye Dunaway,Jack Nicholson,Detective Film
Le samouraï,1967,105 min.,Jean-Pierre Melville,Alain Delon,François Perier,Crime Thriller
Toy Story,1995,81 min.,John Lasseter,Don Rickles,Wallace Shawn,Adventure
Bicycle Thieves,1948,93 min.,Vittorio De Sica,Lamberto Maggiorani,Lianella Carell,Coming-of-Age
The Big Lebowski,1998,117 min.,Joel & Ethan Coen,Julianne Moore,David Huddleston,Buddy Film
A Clockwork Orange,1971,136 min.,Stanley Kubrick,Malcolm McDowell,Warren Clarke,Based-on-20th-Century-Literature
Come and See,1985,140 min.,Elem Klimov,Aleksei Kravchenko,Olga Mironova,Anti-War Film
The Lord of the Rings: The Two Towers,2002,179 min.,Peter Jackson,Elijah Wood,Ian McKellen,Adventure
Memento,2000,113 min.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Crime Thriller
Ferris Bueller's Day Off,1986,103 min.,John Hughes,Matthew Broderick,Alan Ruck,Comedy
The Treasure of the Sierra Madre,1948,126 min.,John Huston,Humphrey Bogart,Walter Huston,Adventure Drama
Tokyo Story,1953,136 min.,Yasujirô Ozu,Chishu Ryu,Chieko Higashiyama,Drama
The General,1926,103 min.,"Clyde Bruckman, Buster Keaton",Buster Keaton,Marion Mack,Action Comedy
Full Metal Jacket,1987,116 min.,Stanley Kubrick,Matthew Modine,Adam Baldwin,Anti-War Film
The Terminator,1984,108 min.,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Action Thriller
Fargo,1996,98 min.,Joel & Ethan Coen,Frances McDormand,William H. Macy,Americana
The 400 Blows,1959,99 min.,François Truffaut,Jean-Pierre Léaud,Claire Maurier,Childhood Drama
Inception,2010,148 min.,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Action Thriller
It Happened One Night,1934,105 min.,Frank Capra,Clark Gable,Claudette Colbert,Comedy
Notorious,1946,101 min.,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Film Noir
Wild Strawberries,1957,91 min.,Ingmar Bergman,Victor Sjostrom,Bibi Andersson,Drama
Sunset Blvd.,1950,110 min.,Billy Wilder,William Holden,Gloria Swanson,Drama
The Seventh Seal,1957,96 min.,Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Drama
The Departed,2006,151 min.,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Crime Drama
Ace in the Hole,1951,111 min.,Billy Wilder,Kirk Douglas,Robert Arthur,Black Comedy
Modern Times,1936,87 min.,Charles Chaplin,Charles Chaplin,Henry Bergman,Comedy
2001: A Space Odyssey,1968,141 min.,Stanley Kubrick,Keir Dullea,Gary Lockwood,Adventure
Strangers on a Train,1951,101 min.,Alfred Hitchcock,Farley Granger,Robert Walker,Based-on-20th-Century-Literature
Grand Illusion,1937,114 min.,Jean Renoir,Jean Gabin,Dita Parlo,Anti-War Film
Batman Begins,2005,140 min.,Christopher Nolan,Christian Bale,Katie Holmes,Action
The Professional,1994,110 min.,Luc Besson,Jean Reno,Natalie Portman,Action Thriller
On the Waterfront,1954,108 min.,Elia Kazan,Marlon Brando,Karl Malden,Crime Drama
Stalker,1979,163 min.,Andrei Tarkovsky,Aleksandr Kaidanovsky,Alisa Frejndlikh,Adventure Drama
Rocky,1976,119 min.,John G. Avildsen,Sylvester Stallone,Talia Shire,Drama
8½,1963,138 min.,Federico Fellini,Marcello Mastroianni,Claudia Cardinale,Comedy Drama
In a Lonely Place,1950,94 min.,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Crime Drama
Inglourious Basterds,2009,153 min.,Quentin Tarantino,Melanie Laurent,Brad Pitt,Adventure
Throne of Blood,1957,109 min.,Akira Kurosawa,Toshirô Mifune,Isuzu Yamada,Action Thriller
Network,1976,121 min.,Sidney Lumet,Faye Dunaway,William Holden,Black Comedy
Indiana Jones and the Temple of Doom,1984,118 min.,Steven Spielberg,Harrison Ford,Kate Capshaw,Action
The Philadelphia Story,1940,112 min.,George Cukor,Cary Grant,Katharine Hepburn,Based-on-Theatre
Sweet Smell of Success,1957,96 min.,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Drama
The Man Who Shot Liberty Valance,1962,123 min.,John Ford,John Wayne,James Stewart,Drama
The Conversation,1974,113 min.,Francis Ford Coppola,Gene Hackman,John Cazale,Drama
All About Eve,1950,138 min.,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,Comedy Drama
A Matter of Life and Death,1946,104 min.,"Michael Powell, Emeric Pressburger",David Niven,Kim Hunter,Fantasy
Cool Hand Luke,1967,126 min.,Stuart Rosenberg,Paul Newman,George Kennedy,Drama
Groundhog Day,1993,101 min.,Harold Ramis,Bill Murray,Andie MacDowell,Comedy
Raging Bull,1980,129 min.,Martin Scorsese,Robert De Niro,Cathy Moriarty,Based-on-20th-Century-Literature
The Rules of the Game,1939,110 min.,Jean Renoir,Nora Gregor,Paulette Dubost,Comedy Drama
Shadow of a Doubt,1943,108 min.,Alfred Hitchcock,Teresa Wright,Joseph Cotten,Crime Thriller
His Girl Friday,1940,92 min.,Howard Hawks,Cary Grant,Rosalind Russell,Based-on-Theatre
Good Will Hunting,1997,126 min.,Gus Van Sant,Matt Damon,Robin Williams,Coming-of-Age
Out of the Past,1947,97 min.,Jacques Tourneur,Robert Mitchum,Jane Greer,Based-on-20th-Century-Literature
Badlands,1973,95 min.,Terrence Malick,Sissy Spacek,Martin Sheen,Americana
Sherlock Jr.,1924,45 min.,Buster Keaton,Buster Keaton,Kathryn McGuire,Action Comedy
Whiplash,2014,106 min.,Damien Chazelle,Miles Teller,J.K. Simmons,Drama
La Dolce Vita,1960,180 min.,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Comedy Drama
The Maltese Falcon,1941,100 min.,John Huston,Humphrey Bogart,Mary Astor,Based-on-20th-Century-Literature
The Big Sleep,1946,114 min.,Howard Hawks,Lauren Bacall,John Ridgely,Based-on-20th-Century-Literature
Shaun of the Dead,2004,99 min.,Edgar Wright,Simon Pegg,Nick Frost,Apocalyptic Film
The Thing,1982,109 min.,John Carpenter,Kurt Russell,Wilford Brimley,Alien Invasion Films
Kill Bill Vol. 1,2003,111 min.,Quentin Tarantino,Uma Thurman,Lucy Liu,Action Thriller
Aguirre: The Wrath of God,1972,93 min.,Werner Herzog,Klaus Kinski,Helena Rojo,Adventure Drama
No Country for Old Men,2007,122 min.,Joel & Ethan Coen,Tommy Lee Jones,Javier Bardem,Based-on-21st-Century-Literature
The Lion King,1994,89 min.,"Roger Allers, Rob Minkoff",Matthew Broderick,Jeremy Irons,Adventure
In the Mood for Love,2000,98 min.,Wong Kar-Wai,Tony Leung Chiu Wai,Maggie Cheung,Drama
The Great Dictator,1940,125 min.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Anti-War Film
The Gold Rush,1925,96 min.,Charles Chaplin,Charles Chaplin,Mack Swain,Adventure Comedy
Gladiator,2000,155 min.,Ridley Scott,Russell Crowe,Joaquin Phoenix,Action
Diabolique,1955,116 min.,Henri-Georges Clouzot,Simone Signoret,Vera Clouzot,Based-on-20th-Century-Literature
Stand by Me,1986,89 min.,Rob Reiner,River Phoenix,Corey Feldman,Adventure Drama
Parasite,2019,132 min.,Bong Joon Ho,Kang-ho Song,Yeo-jeong Jo,Black Comedy
Rope,1948,80 min.,Alfred Hitchcock,James Stewart,John Dall,Based-on-a-True-Story
Memories of Murder,2003,130 min.,Bong Joon Ho,Kang-ho Song,Sang-kyung Kim,Based-on-a-True-Story
The Searchers,1956,119 min.,John Ford,John Wayne,Jeffery Hunter,Epic
My Neighbor Totoro,1988,86 min.,Hayao Miyazaki,Noriko Hidaka,Chika Sakamoto,Adventure
Anatomy of a Murder,1959,160 min.,Otto Preminger,James Stewart,Lee Remick,Courtroom Drama
Eternal Sunshine of the Spotless Mind,2004,108 min.,Michel Gondry,Jim Carrey,Kate Winslet,Comedy Drama
The Breakfast Club,1985,97 min.,John Hughes,Emilio Estevez,Molly Ringwald,Comedy Drama
The Thin Man,1934,91 min.,W.S. Van Dyke,William Powell,Nat Pendleton,Based-on-20th-Century-Literature
American History X,1998,119 min.,Tony Kaye,Edward Norton,Edward Furlong,Crime
Office Space,1999,89 min.,Mike Judge,Stephen Root,Gary Cole,Black Comedy
Days of Heaven,1978,94 min.,Terrence Malick,Richard Gere,Brooke Adams,Costume Romance
It's a Wonderful Life,1946,130 min.,Frank Capra,James Stewart,Donna Reed,Americana
The Killing,1956,85 min.,Stanley Kubrick,Sterling Hayden,Coleen Gray,Based-on-20th-Century-Literature
Bringing Up Baby,1938,102 min.,Howard Hawks,Katharine Hepburn,Cary Grant,Comedy
Fanny and Alexander,1982,188 min.,Ingmar Bergman,Ewa Fröling,Gunn Wållgren,Childhood Drama
Sullivan's Travels,1941,90 min.,Preston Sturges,Joel McCrea,Veronica Lake,Comedy
Rififi,1955,122 min.,Jules Dassin,Jean Servais,Carl Mohner,Caper
Butch Cassidy and the Sundance Kid,1969,110 min.,George Roy Hill,Paul Newman,Robert Redford,Buddy Film
A Fistful of Dollars,1964,99 min.,Sergio Leone,Clint Eastwood,Marianne Koch,Action
Rio Bravo,1959,141 min.,Howard Hawks,John Wayne,Angie Dickinson,Buddy Film
The Wizard of Oz,1939,101 min.,Victor Fleming,Judy Garland,Frank Morgan,Adventure
Unforgiven,1992,131 min.,Clint Eastwood,Clint Eastwood,Gene Hackman,Outlaw
Once Upon a Time in the West,1968,165 min.,Sergio Leone,Charles Bronson,Gabriele Ferzetti,Ensemble Film
Rebecca,1940,130 min.,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,Based-on-20th-Century-Literature
Brief Encounter,1945,86 min.,David Lean,Celia Johnson,Trevor Howard,Based-on-Theatre
Laura,1944,88 min.,Otto Preminger,Gene Tierney,Dana Andrews,Crime Thriller
Ran,1985,162 min.,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Action
For a Few Dollars More,1965,132 min.,Sergio Leone,Clint Eastwood,Lee Van Cleef,Foreign Language Film
Iron Man,2008,126 min.,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Action
The Best Years of Our Lives,1946,172 min.,William Wyler,Fredric March,Dana Andrews,Americana
Annie Hall,1977,93 min.,Woody Allen,Woody Allen,Diane Keaton,Comedy of Manners
"Paris, Texas",1984,147 min.,Wim Wenders,Harry Dean Stanton,Dean Stockwell,Drama
Stalag 17,1953,120 min.,Billy Wilder,Robert Strauss,Harvey Lembeck,Comedy Drama
Mr. Smith Goes to Washington,1939,129 min.,Frank Capra,James Stewart,Jean Arthur,Americana
Duck Soup,1933,68 min.,Leo McCarey,Harpo Marx,Groucho Marx,Absurd Comedy
Lawrence of Arabia,1962,227 min.,David Lean,Peter O'Toole,Alec Guinness,Adventure Drama
To Be or Not to Be,1942,99 min.,Ernst Lubitsch,Carole Lombard,Jack Benny,Comedy
The Prestige,2006,130 min.,Christopher Nolan,Hugh Jackman,Christian Bale,Mindbender
The Sting,1973,129 min.,George Roy Hill,Paul Newman,Robert Redford,Buddy Film
Back to the Future Part II,1989,108 min.,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Adventure
Charade,1963,113 min.,Stanley Donen,James Coburn,Cary Grant,Comedy Thriller
Chungking Express,1994,98 min.,Wong Kar-Wai,Brigitte Lin,Tony Leung Chiu Wai,Drama
Dog Day Afternoon,1975,125 min.,Sidney Lumet,Al Pacino,John Cazale,Based-on-a-True-Story
All the President's Men,1976,138 min.,Alan J. Pakula,Jason Robards,Hal Holbrook,Based-on-a-True-Story
Witness for the Prosecution,1957,116 min.,Billy Wilder,Tyrone Power,Marlene Dietrich,Based-on-20th-Century-Literature
Andrei Rublev,1966,205 min.,Andrei Tarkovsky,Anatoli Solonitsyn,Ivan Lapikov,Based-on-a-True-Story
The Kid,1921,68 min.,Charles Chaplin,Charles Chaplin,Jackie Coogan,Drama
The Graduate,1967,105 min.,Mike Nichols,Dustin Hoffman,Anne Bancroft,Comedy Drama
The Great Escape,1963,172 min.,John Sturges,Steve McQueen,Richard Attenborough,Adventure
City of God,2002,130 min.,"Fernando Meirelles, Kátia Lund",Leandro Firmino da Hora,Matheus Nachtergaele,Based-on-20th-Century-Literature
The Hidden Fortress,1958,139 min.,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Adventure
Willy Wonka & the Chocolate Factory,1971,100 min.,Mel Stuart,Jack Albertson,Julie Dawn Cole,Adventure
The King of Comedy,1982,109 min.,Martin Scorsese,Robert De Niro,Jerry Lewis,Black Comedy
The Battle of Algiers,1966,121 min.,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Docudrama
Metropolis,1927,153 min.,Fritz Lang,Alfred Abel,Heinrich George,Cyberpunk / Tech Noir
Breathless,1960,90 min.,Jean-Luc Godard,Jean-Paul Belmondo,Jean Seberg,Crime Drama
E.T.: The Extra-Terrestrial,1982,115 min.,Steven Spielberg,Dee Wallace,Henry Thomas,Adventure Drama
The Life and Death of Colonel Blimp,1943,163 min.,"Michael Powell, Emeric Pressburger",Roger Livesey,Deborah Kerr,Costume Romance
The Long Goodbye,1973,112 min.,Robert Altman,Elliott Gould,Nina Van Pallandt,Based-on-20th-Century-Literature
Django Unchained,2012,165 min.,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Drama
The Shop Around the Corner,1940,99 min.,Ernst Lubitsch,Margaret Sullavan,James Stewart,Comedy
WALL·E,2008,98 min.,Andrew Stanton,Fred Willard,Jeff Garlin,Adventure Comedy
To Kill a Mockingbird,1962,129 min.,Robert Mulligan,Gregory Peck,Mary Badham,Based-on-20th-Century-Literature
Scarface,1983,170 min.,Brian De Palma,Al Pacino,Mary Elizabeth Mastrantonio,Crime Drama
The Hustler,1961,134 min.,Robert Rossen,Paul Newman,Jackie Gleason,Addiction Drama
Dial M for Murder,1954,105 min.,Alfred Hitchcock,Ray Milland,Grace Kelly,Based-on-Theatre
12 Monkeys,1995,129 min.,Terry Gilliam,Bruce Willis,Madeleine Stowe,Cyberpunk / Tech Noir
The Wild Bunch,1969,145 min.,Sam Peckinpah,William Holden,Robert Ryan,Action
Ugetsu,1953,94 min.,Kenji Mizoguchi,Masayuki Mori,Machiko Kyô,Costume Romance
American Beauty,1999,122 min.,Sam Mendes,Kevin Spacey,Annette Bening,Comedy Drama
The Lady Vanishes,1938,97 min.,Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Based-on-20th-Century-Literature
The Incredibles,2004,115 min.,Brad Bird,Craig T. Nelson,Holly Hunter,Action Comedy
Braveheart,1995,177 min.,Mel Gibson,Mel Gibson,Patrick McGoohan,Adventure Drama
The French Connection,1971,104 min.,William Friedkin,Gene Hackman,Fernando Rey,Action Thriller
Bride of Frankenstein,1935,75 min.,James Whale,Boris Karloff,Elsa Lanchester,Based-on-19th-Century-Literature
Army of Shadows,1969,145 min.,Jean-Pierre Melville,Lino Ventura,Jean-Pierre Cassel,Drama
The Bridge on the River Kwai,1957,161 min.,David Lean,William Holden,Jack Hawkins,Based-on-20th-Century-Literature
Young Frankenstein,1974,106 min.,Mel Brooks,Gene Wilder,Peter Boyle,Comedy
Grave of the Fireflies,1988,89 min.,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Animation
Black Narcissus,1947,100 min.,"Michael Powell, Emeric Pressburger",Deborah Kerr,Flora Robson,Based-on-20th-Century-Literature
Miller's Crossing,1990,120 min.,Joel & Ethan Coen,Gabriel Byrne,Albert Finney,Crime Drama
Mad Max: Fury Road,2015,120 min.,George Miller,Tom Hardy,Charlize Theron,Action Thriller
Woman in the Dunes,1964,123 min.,Hiroshi Teshigahara,Eiji Okada,Kyoko Kishida,Avant-garde / Experimental
My Man Godfrey,1936,94 min.,Gregory La Cava,William Powell,Carole Lombard,Comedy of Manners
Airplane!,1980,88 min.,"Jim Abrahams, David Zucker, Jerry Zucker",Robert Hays,Julie Hagerty,Absurd Comedy
Sanjuro,1962,96 min.,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Action
Life of Brian,1979,94 min.,Terry Jones,Graham Chapman,John Cleese,Absurd Comedy
Barry Lyndon,1975,184 min.,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Based-on-19th-Century-Literature
High Noon,1952,85 min.,Fred Zinnemann,Gary Cooper,Grace Kelly,Western
The Goonies,1985,114 min.,Richard Donner,Sean Astin,Josh Brolin,Adventure Comedy
Finding Nemo,2003,100 min.,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Adventure
Nausicaä of the Valley of the Wind,1984,117 min.,Hayao Miyazaki,Sumi Shimamoto,Ichirô Nagai,Adventure
Singin' in the Rain,1952,103 min.,"Stanley Donen, Gene Kelly",Gene Kelly,Donald O'Connor,Comedy
The Sixth Sense,1999,107 min.,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Childhood Drama
Who's Afraid of Virginia Woolf?,1966,131 min.,Mike Nichols,Elizabeth Taylor,Richard Burton,Based-on-Theatre
Spirited Away,2001,125 min.,Hayao Miyazaki,Rumi Hîragi,Miyu Irino,Adventure
A Face in the Crowd,1957,125 min.,Elia Kazan,Andy Griffith,Anthony Franciosa,Drama
Manhattan,1979,96 min.,Woody Allen,Woody Allen,Diane Keaton,Comedy Drama
Predator,1987,107 min.,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Action
Kill Bill Vol. 2,2004,136 min.,Quentin Tarantino,Uma Thurman,Michael Madsen,Action Thriller
Oldboy,2003,120 min.,Chan-wook Park,Dal-su Oh,Min-sik Choi,Based-on-Comics
White Heat,1949,114 min.,Raoul Walsh,James Cagney,Virginia Mayo,Crime Thriller
The Bourne Identity,2002,119 min.,Doug Liman,Matt Damon,Franka Potente,Action Thriller
Paper Moon,1973,102 min.,Peter Bogdanovich,Ryan O'Neal,John Hillerman,Comedy Drama
The Green Mile,1999,188 min.,Frank Darabont,Tom Hanks,David Morse,Based-on-20th-Century-Literature
A Man Escaped,1956,99 min.,Robert Bresson,François Leterrier,Charles Le Clainche,Docudrama
The Avengers,2012,142 min.,Joss Whedon,Robert Downey Jr.,Chris Evans,Action
Children of Men,2006,109 min.,Alfonso Cuarón,Clive Owen,Julianne Moore,Action Thriller
The Truman Show,1998,103 min.,Peter Weir,Jim Carrey,Laura Linney,Comedy Drama
Pan's Labyrinth,2006,119 min.,Guillermo del Toro,Ivana Baquero,Sergi López,Drama
Ocean's Eleven,2001,116 min.,Steven Soderbergh,George Clooney,Matt Damon,Caper
Stagecoach,1939,96 min.,John Ford,John Wayne,Claire Trevor,Action
Some Like It Hot,1959,120 min.,Billy Wilder,Marilyn Monroe,Tony Curtis,Comedy of Errors
The Untouchables,1987,119 min.,Brian De Palma,Kevin Costner,Robert De Niro,Crime Thriller
Late Spring,1949,108 min.,Yasujirô Ozu,Setsuko Hara,Haruko Sugimura,Drama
Heat,1995,188 min.,Michael Mann,Al Pacino,Robert De Niro,Action Thriller
"O Brother, Where Art Thou?",2000,107 min.,Joel & Ethan Coen,George Clooney,John Turturro,Americana
Roman Holiday,1953,118 min.,William Wyler,Audrey Hepburn,Gregory Peck,Comedy
There Will Be Blood,2007,158 min.,Paul Thomas Anderson,Daniel Day-Lewis,Colleen Foy,Based-on-20th-Century-Literature
Rain Man,1988,133 min.,Barry Levinson,Dustin Hoffman,Tom Cruise,Drama
The Exorcist,1973,122 min.,William Friedkin,Ellen Burstyn,Max von Sydow,Based-on-20th-Century-Literature
Arsenic and Old Lace,1944,118 min.,Frank Capra,Priscilla Lane,Josephine Hull,Based-on-Theatre
The Magnificent Seven,1960,128 min.,John Sturges,Yul Brynner,Steve McQueen,Buddy Film
Sansho the Bailiff,1954,124 min.,Kenji Mizoguchi,Kyoko Kagawa,Kinuyo Tanaka,Drama
The Deer Hunter,1978,182 min.,Michael Cimino,Robert De Niro,Christopher Walken,Anti-War Film
The Last Picture Show,1971,118 min.,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Americana
Trainspotting,1996,94 min.,Danny Boyle,Ewan McGregor,Ewen Bremner,Addiction Drama
Blazing Saddles,1974,93 min.,Mel Brooks,Cleavon Little,Gene Wilder,Comedy Western
Snatch.,2000,102 min.,Guy Ritchie,Benicio Del Toro,Dennis Farina,Black Comedy
Batman,1989,126 min.,Tim Burton,Michael Keaton,Jack Nicholson,Action
The Blues Brothers,1980,148 min.,John Landis,John Belushi,Dan Aykroyd,Absurd Comedy
The Fugitive,1993,130 min.,Andrew Davis,Harrison Ford,Tommy Lee Jones,Action Thriller
The Umbrellas of Cherbourg,1964,91 min.,Jacques Demy,Catherine Deneuve,Marc Michel,Drama
"Monsters, Inc.",2001,92 min.,Pete Docter,Billy Crystal,John Goodman,Animation
Suspiria,1977,98 min.,Dario Argento,Jessica Harper,Stefania Casini,Fantasy
Le Cercle Rouge,1970,140 min.,Jean-Pierre Melville,François Perier,Gian Maria Volontè,Caper
Nights of Cabiria,1957,117 min.,Federico Fellini,Giulietta Masina,François Perier,Drama
